func,algo,best,mean,std,median,worst
F10,L-SHADE,712.2894987353918,2862.2424223072394,2209.6209160645444,2295.6895604527817,10157.32750231591
F10,CMA-ES,108.8160614856006,16817.428350680555,31676.19988805761,498.9387993601039,109576.21905489064
F11,L-SHADE,3947.5716332671473,19894.03183266308,22076.47592851233,12794.117739297122,105106.17677394136
F11,CMA-ES,10789.118605061867,99592.52309511064,104057.33447639624,78642.18845114503,580730.3773357128
F12,L-SHADE,77.01494676104562,6973.924606957536,5552.508106901572,6482.323134942792,18717.925746517976
F12,CMA-ES,22962.98343271861,55673.50566871508,14334.700727972484,54714.97737826382,95091.93487661592
F13,L-SHADE,789.3092883563259,34675.14345105261,117902.68007768062,9712.705055727349,665756.3183938733
F13,CMA-ES,3442.922538717683,69042.96583067566,68610.76905164304,34249.95399019504,247463.0101123681
F14,L-SHADE,1948.190621213625,10945.337411735898,6550.89335532624,9428.944831209574,31083.23259169697
F14,CMA-ES,19684.42536390525,47036.29640904842,15464.60160602297,45953.54988985976,101993.51671682576
F17,L-SHADE,2498.39957921024,13022.047546330645,12865.36248284146,9611.608914723009,69177.90538798182
F17,CMA-ES,12024.42134566252,58847.673008550446,35147.53531411968,58992.0026744786,149368.15928286128
F18,L-SHADE,44.65216082088182,424.2411769642917,610.7552464639023,245.98896294835845,2890.380183381041
F18,CMA-ES,13879.407971914268,85232.43654797251,47985.81410729815,75447.06432714817,223721.8361157068
F20,L-SHADE,100.01925678844418,260.6124363243887,140.27305238385162,298.59927410843693,537.643062306804
F20,CMA-ES,100.0000667791619,221.07252187740545,61.63943819877739,248.3752729648579,276.64488182622426
F22,L-SHADE,200.0116203732869,224.27270928347247,93.9631184317947,200.1072714754696,664.3716292823506
F22,CMA-ES,200.000064249628,248.87810200383103,70.26595823761387,200.00032546114608,392.33860990588255
F23,L-SHADE,200.00386824982843,221.6671770103439,65.19058452404064,200.02611867940607,433.1774073064994
F23,CMA-ES,200.0000690453589,229.15874208021103,52.9883620884461,200.000198121905,336.2908051571667
F24,L-SHADE,420.97929315362353,423.4665782360827,4.252391353026917,421.9351654478762,440.2952991919715
F24,CMA-ES,420.4399800763422,420.5292954113392,0.0607974439457163,420.51711232661,420.6687874818144
F25,L-SHADE,825.6888812331108,840.2639052487211,17.286609294607437,832.7671540688661,873.5704014694384
F25,CMA-ES,825.403129388731,827.9155155357856,2.203020198306468,827.0819324982494,832.5000625342414
F26,L-SHADE,478.9978472300709,508.822124137364,13.786566073236571,506.4407013963989,533.1294205066961
F26,CMA-ES,476.7108340955133,508.3692092723817,15.040623804845742,508.72150497030657,539.6795507585948
F27,L-SHADE,29.11501707581874,128.14632796081364,110.46784912784145,76.4074602216183,448.7357723897135
F27,CMA-ES,0.0012085439402653,1.9282640149171888,4.377420278903951,0.2005762842918557,16.783912540165602
F28,L-SHADE,2366.1000890199484,7281.415835837441,5508.425600583318,5805.364116332408,29519.376360204777
F28,CMA-ES,1909.7918140217128,6086.30977459278,2085.053874923722,6271.3860713585855,10235.45865210317
F29,L-SHADE,6540.297217196501,19470.232604180164,11598.610133946318,17087.84468276896,54099.362278330605
F29,CMA-ES,44412.238875869865,121812.74108515494,90951.96929220828,91990.45481323038,491738.6576068426
F5,CA,28.047109685228065,42.36166530126457,7.977955228946796,41.946934727493215,59.72022716609558
F5,CA-static,22.170945777290854,41.98180229697238,9.662542881773922,41.02998980747134,70.1612629043882
F5,GWO,7.72153699224134,26.34749070880197,11.076558452776364,24.655247091780492,57.03809295510496
F5,PSO,7.286439458243308,22.15686668431438,9.45369070472469,19.657900600397568,51.02185308417552
F5,GA,9.367621730027167,33.28699160352681,15.847488402532536,30.476961093671942,81.4043584157838
F5,WOA,80.66405353865798,105.36803818570102,14.868209661047027,103.43779291488232,145.23294921905608
F5,L-SHADE,3.703631152780531,10.27094468804832,3.9440826971311287,10.759614571616735,19.069624243387352
F5,CMA-ES,0.0001132881862986,0.0196577348560405,0.0406195920400356,0.0005120780115248,0.185934114178849
F9,CA,2542.2216010699267,3823.2146246755233,642.8989748850328,3807.647157549885,5012.4626878107965
F9,CA-static,2167.9517813126786,3747.198877211673,635.7723026321302,3890.642534715248,4601.937775670732
F9,GWO,2352.4315939588523,6687.118051471106,1962.6280804497956,7619.323003712345,8578.735030947517
F9,PSO,2205.070575043659,3983.904243692354,918.324345084949,3906.844918187409,6059.977448112228
F9,GA,1778.447532409917,3618.094242913393,707.9826603629268,3741.615490944444,4915.2419851876575
F9,WOA,4189.692417041697,6691.9725708575415,1133.5795342188992,6769.459131833638,8675.536628807073
F9,L-SHADE,1793.910594330424,2450.9158283038514,350.6447354276315,2441.826074562714,3396.2336432644533
